name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,386,"Usual Suspects, The (1995)",Braveheart (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Jurassic Park (1993),"Godfather, The (1972)","Fugitive, The (1993)",Blade Runner (1982),Fight Club (1999),Saving Private Ryan (1998),Aliens (1986),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991)
Louise Jones,387,"Terminator, The (1984)","Matrix, The (1999)",Jurassic Park (1993),Speed (1994),"Hunt for Red October, The (1990)",Total Recall (1990),Indiana Jones and the Temple of Doom (1984),"Fifth Element, The (1997)",Batman (1989),Twister (1996),Star Wars: Episode IV - A New Hope (1977),True Lies (1994),"Fugitive, The (1993)"
Louise Jones,388,Back to the Future (1985),One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)",Top Gun (1986),Braveheart (1995),Ocean's Eleven (2001),Ghost (1990),"Truman Show, The (1998)",Spider-Man (2002),"Abyss, The (1989)",Jumanji (1995),Sabrina (1995),"Shawshank Redemption, The (1994)"
Louise Jones,389,2001: A Space Odyssey (1968),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Clockwork Orange, A (1971)",Taxi Driver (1976),Brazil (1985),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),"Graduate, The (1967)",Apocalypse Now (1979),Chinatown (1974),Blade Runner (1982),Citizen Kane (1941),Annie Hall (1977)
Louise Jones,390,"Shawshank Redemption, The (1994)",Shutter Island (2010),"Silence of the Lambs, The (1991)","Beautiful Mind, A (2001)",The Imitation Game (2014),Braveheart (1995),Ex Machina (2015),Django Unchained (2012),Good Will Hunting (1997),Slumdog Millionaire (2008),Apollo 13 (1995),Forrest Gump (1994),Jurassic Park (1993)
Louise Jones,391,Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Schindler's List (1993),"Matrix, The (1999)",Pulp Fiction (1994),"Sixth Sense, The (1999)",Indiana Jones and the Last Crusade (1989),"Godfather, The (1972)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Braveheart (1995),Interview with the Vampire: The Vampire Chronicles (1994)
Louise Jones,392,"Lion King, The (1994)",Babe (1995),"Bug's Life, A (1998)",Shakespeare in Love (1998),"Usual Suspects, The (1995)","Godfather, The (1972)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Shawshank Redemption, The (1994)","Sound of Music, The (1965)",Braveheart (1995),Toy Story (1995),"Fugitive, The (1993)",Schindler's List (1993)
Louise Jones,393,"Prestige, The (2006)",Inception (2010),Slumdog Millionaire (2008),"Social Network, The (2010)","Dark Knight, The (2008)","Departed, The (2006)",Intouchables (2011),Into the Wild (2007),Inglourious Basterds (2009),(500) Days of Summer (2009),Angels & Demons (2009),Shutter Island (2010),"Man Who Knew Too Little, The (1997)"
Louise Jones,394,Django Unchained (2012),Memento (2000),V for Vendetta (2006),Gone Girl (2014),"Dark Knight Rises, The (2012)",District 9 (2009),"Truman Show, The (1998)",Whiplash (2014),Iron Man (2008),Limitless (2011),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Gattaca (1997)
Louise Jones,395,Aladdin (1992),Toy Story (1995),Ghost (1990),American History X (1998),Shrek (2001),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Four Weddings and a Funeral (1994),Donnie Darko (2001),Ocean's Eleven (2001),Dead Poets Society (1989),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,396,Schindler's List (1993),Heat (1995),Grosse Pointe Blank (1997),Sense and Sensibility (1995),"Full Monty, The (1997)",Natural Born Killers (1994),Star Wars: Episode IV - A New Hope (1977),Shine (1996),Like Water for Chocolate (Como agua para chocolate) (1992),Dead Poets Society (1989),Seven (a.k.a. Se7en) (1995),"Bridges of Madison County, The (1995)",Desperado (1995)
Louise Jones,397,"Dark Knight, The (2008)",Good Will Hunting (1997),Terminator 2: Judgment Day (1991),"Beautiful Mind, A (2001)",Shrek (2001),Toy Story (1995),"Green Mile, The (1999)",Up (2009),"Prestige, The (2006)",Gladiator (2000),Seven (a.k.a. Se7en) (1995),Pulp Fiction (1994),"Shawshank Redemption, The (1994)"
Louise Jones,398,Interview with the Vampire: The Vampire Chronicles (1994),Mrs. Doubtfire (1993),"Mask, The (1994)",While You Were Sleeping (1995),Schindler's List (1993),"Client, The (1994)",Quiz Show (1994),Four Weddings and a Funeral (1994),Dumb & Dumber (Dumb and Dumber) (1994),Dave (1993),"Bridges of Madison County, The (1995)",Braveheart (1995),Rob Roy (1995)
Louise Jones,399,Braveheart (1995),Goodfellas (1990),"Princess Bride, The (1987)",Memento (2000),Alien (1979),Back to the Future (1985),Reservoir Dogs (1992),"Dark Knight, The (2008)",Toy Story (1995),Gladiator (2000),Pulp Fiction (1994),Schindler's List (1993),Blade Runner (1982)
Louise Jones,400,Clueless (1995),"Shawshank Redemption, The (1994)",Mrs. Doubtfire (1993),"Usual Suspects, The (1995)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Back to the Future (1985),Pulp Fiction (1994),Grease (1978),Notting Hill (1999),Twister (1996),Grumpier Old Men (1995),Sabrina (1995),"American President, The (1995)"
Louise Jones,401,Donnie Darko (2001),Being John Malkovich (1999),Good Will Hunting (1997),Seven (a.k.a. Se7en) (1995),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Life Is Beautiful (La Vita è bella) (1997),High Fidelity (2000),Requiem for a Dream (2000),"Green Mile, The (1999)",Cast Away (2000),"Sixth Sense, The (1999)",American Beauty (1999),"Beautiful Mind, A (2001)"
Louise Jones,402,Big Hero 6 (2014),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Beauty and the Beast (1991),"Bourne Ultimatum, The (2007)",Inside Out (2015),Harry Potter and the Deathly Hallows: Part 1 (2010),Snow White and the Seven Dwarfs (1937),"Nightmare Before Christmas, The (1993)",Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Deathly Hallows: Part 2 (2011),Star Wars: Episode IV - A New Hope (1977),Wallace & Gromit: A Close Shave (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Louise Jones,403,Inception (2010),Interstellar (2014),Pulp Fiction (1994),The Martian (2015),Schindler's List (1993),Gone Girl (2014),"Dark Knight, The (2008)",The Imitation Game (2014),Ex Machina (2015),Mad Max: Fury Road (2015),Moon (2009),"Social Network, The (2010)","Dark Knight Rises, The (2012)"
Louise Jones,404,Aladdin (1992),Beauty and the Beast (1991),Sleepless in Seattle (1993),"Lion King, The (1994)",Natural Born Killers (1994),"Client, The (1994)",Schindler's List (1993),Congo (1995),Legends of the Fall (1994),Nell (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Braveheart (1995),Stargate (1994)
Louise Jones,405,Willy Wonka & the Chocolate Factory (1971),Dead Man Walking (1995),Star Wars: Episode VI - Return of the Jedi (1983),Jerry Maguire (1996),"Truth About Cats & Dogs, The (1996)",Ransom (1996),Grumpier Old Men (1995),Courage Under Fire (1996),Happy Gilmore (1996),Tin Cup (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Executive Decision (1996),Toy Story (1995)
Louise Jones,406,Love Actually (2003),Easy A (2010),Eternal Sunshine of the Spotless Mind (2004),WALL·E (2008),Avatar (2009),Forrest Gump (1994),Frozen (2013),Silver Linings Playbook (2012),"Beautiful Mind, A (2001)","Truman Show, The (1998)","Lion King, The (1994)",Dirty Dancing (1987),Dead Poets Society (1989)
Louise Jones,407,Twister (1996),Dead Man Walking (1995),Broken Arrow (1996),Eraser (1996),Executive Decision (1996),Ransom (1996),Star Trek: First Contact (1996),Happy Gilmore (1996),Dragonheart (1996),Multiplicity (1996),Father of the Bride Part II (1995),Sense and Sensibility (1995),Othello (1995)
Louise Jones,408,Saving Private Ryan (1998),Good Will Hunting (1997),Spider-Man 2 (2004),Ghostbusters (a.k.a. Ghost Busters) (1984),"Silence of the Lambs, The (1991)",Sin City (2005),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Indiana Jones and the Last Crusade (1989),E.T. the Extra-Terrestrial (1982),Eternal Sunshine of the Spotless Mind (2004),Happy Gilmore (1996),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,409,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),True Lies (1994),Spider-Man (2002),Gladiator (2000),Pretty Woman (1990),Stargate (1994),Blade Runner (1982),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),"Rock, The (1996)",Before Sunrise (1995),2001: A Space Odyssey (1968),Before Sunset (2004)
Louise Jones,410,Schindler's List (1993),Pulp Fiction (1994),Monty Python and the Holy Grail (1975),Gladiator (2000),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode VI - Return of the Jedi (1983),"Shining, The (1980)",Kill Bill: Vol. 1 (2003),Taxi Driver (1976),Psycho (1960),Seven (a.k.a. Se7en) (1995),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,411,Schindler's List (1993),WALL·E (2008),Seven (a.k.a. Se7en) (1995),Fargo (1996),Star Wars: Episode IV - A New Hope (1977),City of God (Cidade de Deus) (2002),Shrek (2001),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Eternal Sunshine of the Spotless Mind (2004),"Departed, The (2006)","Usual Suspects, The (1995)",Muppet Treasure Island (1996),"Shawshank Redemption, The (1994)"
Louise Jones,412,"Godfather: Part II, The (1974)",WALL·E (2008),"Dark Knight, The (2008)","Usual Suspects, The (1995)",Inception (2010),Pulp Fiction (1994),Up (2009),Toy Story (1995),Forrest Gump (1994),"Monsters, Inc. (2001)","Shawshank Redemption, The (1994)",Goodfellas (1990),Chicken Run (2000)
Louise Jones,413,"Silence of the Lambs, The (1991)","Wolf of Wall Street, The (2013)",Guardians of the Galaxy (2014),"Prestige, The (2006)","Green Mile, The (1999)",Iron Man (2008),V for Vendetta (2006),Inglourious Basterds (2009),Shrek (2001),Intouchables (2011),"Shawshank Redemption, The (1994)",Forrest Gump (1994),Schindler's List (1993)
Louise Jones,414,In the Name of the Father (1993),Quiz Show (1994),"Full Monty, The (1997)",Terminator 2: Judgment Day (1991),Broken Arrow (1996),Star Wars: Episode VI - Return of the Jedi (1983),Philadelphia (1993),Eat Drink Man Woman (Yin shi nan nu) (1994),Amadeus (1984),"Time to Kill, A (1996)",Leaving Las Vegas (1995),Dead Man Walking (1995),Clueless (1995)
Louise Jones,415,Schindler's List (1993),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)","Matrix, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Dark Knight, The (2008)",Gladiator (2000),Forrest Gump (1994),Good Will Hunting (1997),"Shawshank Redemption, The (1994)",Shooting Fish (1997),Saving Private Ryan (1998)
Louise Jones,416,Titanic (1997),Gladiator (2000),Dances with Wolves (1990),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Amadeus (1984),Spider-Man (2002),Mrs. Doubtfire (1993),Ghost (1990),Blade Runner (1982),Speed (1994),One Flew Over the Cuckoo's Nest (1975),Stalker (1979),Dead Poets Society (1989)
Louise Jones,417,"Matrix, The (1999)","Sixth Sense, The (1999)","Usual Suspects, The (1995)","Shawshank Redemption, The (1994)","Godfather, The (1972)",Saving Private Ryan (1998),Casablanca (1942),Annie Hall (1977),Taxi Driver (1976),Dead Man Walking (1995),Nobody Loves Me (Keiner liebt mich) (1994),Hoop Dreams (1994),Three Colors: Blue (Trois couleurs: Bleu) (1993)
Louise Jones,418,Braveheart (1995),Batman Begins (2005),"Shawshank Redemption, The (1994)",V for Vendetta (2006),Terminator 2: Judgment Day (1991),X-Men (2000),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),American Beauty (1999),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Spider-Man (2002),GoldenEye (1995),Mallrats (1995),Clerks (1994)
Louise Jones,419,Star Wars: Episode V - The Empire Strikes Back (1980),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Silence of the Lambs, The (1991)","Pan's Labyrinth (Laberinto del fauno, El) (2006)",Harry Potter and the Prisoner of Azkaban (2004),Gladiator (2000),"Sixth Sense, The (1999)",Batman Begins (2005),V for Vendetta (2006),Braveheart (1995),Princess Mononoke (Mononoke-hime) (1997),Spirited Away (Sen to Chihiro no kamikakushi) (2001),Grave of the Fireflies (Hotaru no haka) (1988)
Louise Jones,420,"Shawshank Redemption, The (1994)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Seven (a.k.a. Se7en) (1995),"Godfather, The (1972)",Braveheart (1995),Shakespeare in Love (1998),Taxi Driver (1976),Dead Man Walking (1995),"Matrix, The (1999)",American History X (1998),"Usual Suspects, The (1995)",Hoop Dreams (1994),Pulp Fiction (1994)
Louise Jones,421,"Terminator, The (1984)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Indiana Jones and the Last Crusade (1989),Ferris Bueller's Day Off (1986),Ghostbusters (a.k.a. Ghost Busters) (1984),Mrs. Doubtfire (1993),Airplane! (1980),Pretty Woman (1990),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Die Hard (1988),Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),North by Northwest (1959)
Louise Jones,422,Mr. Holland's Opus (1995),Willy Wonka & the Chocolate Factory (1971),"Birdcage, The (1996)","Truth About Cats & Dogs, The (1996)",Star Trek: First Contact (1996),Sabrina (1995),Eraser (1996),Fargo (1996),Dead Man Walking (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sense and Sensibility (1995),Bed of Roses (1996),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,423,"Sixth Sense, The (1999)",Goodfellas (1990),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Austin Powers: The Spy Who Shagged Me (1999),"Shawshank Redemption, The (1994)",Total Recall (1990),Face/Off (1997),Shakespeare in Love (1998),Mission: Impossible (1996),"Godfather, The (1972)","Godfather: Part II, The (1974)",Cube (1997)
Louise Jones,424,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Shrek (2001),Finding Nemo (2003),Inception (2010),"Dark Knight Rises, The (2012)",Indiana Jones and the Last Crusade (1989),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Guardians of the Galaxy (2014),Forrest Gump (1994),"Lion King, The (1994)",Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Godfather: Part II, The (1974)"
Louise Jones,425,Forrest Gump (1994),WALL·E (2008),"Dark Knight, The (2008)",Inception (2010),"Silence of the Lambs, The (1991)",Avatar (2009),Fight Club (1999),Pulp Fiction (1994),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Billy Elliot (2000),Snatch (2000)
Louise Jones,426,Cool Hand Luke (1967),"Fish Called Wanda, A (1988)","Bridge on the River Kwai, The (1957)",Beauty and the Beast (1991),Hot Fuzz (2007),"40-Year-Old Virgin, The (2005)",Indiana Jones and the Last Crusade (1989),127 Hours (2010),"Blind Side, The  (2009)",Unbreakable (2000),Seven (a.k.a. Se7en) (1995),"Silence of the Lambs, The (1991)",Snow White and the Seven Dwarfs (1937)
Louise Jones,427,Schindler's List (1993),Ghost (1990),Four Weddings and a Funeral (1994),Terminator 2: Judgment Day (1991),Batman (1989),Mrs. Doubtfire (1993),True Lies (1994),Batman Forever (1995),"American President, The (1995)",Clueless (1995),Four Rooms (1995),Leaving Las Vegas (1995),Dead Man Walking (1995)
Louise Jones,428,True Lies (1994),Ghost (1990),Waterworld (1995),Outbreak (1995),"Net, The (1995)","Firm, The (1993)",Interview with the Vampire: The Vampire Chronicles (1994),GoldenEye (1995),Clear and Present Danger (1994),While You Were Sleeping (1995),Toy Story (1995),Ace Ventura: When Nature Calls (1995),Happy Gilmore (1996)
Louise Jones,429,Inception (2010),Gladiator (2000),Forrest Gump (1994),Kill Bill: Vol. 2 (2004),"Departed, The (2006)",Batman Begins (2005),Snatch (2000),"Silence of the Lambs, The (1991)",Eternal Sunshine of the Spotless Mind (2004),"Usual Suspects, The (1995)",Pulp Fiction (1994),Schindler's List (1993),American History X (1998)
Louise Jones,430,Schindler's List (1993),Toy Story (1995),Outbreak (1995),Interview with the Vampire: The Vampire Chronicles (1994),Cliffhanger (1993),While You Were Sleeping (1995),Natural Born Killers (1994),Waterworld (1995),In the Line of Fire (1993),"Piano, The (1993)",Nixon (1995),"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Louise Jones,431,"O Brother, Where Art Thou? (2000)",Clerks (1994),Airplane! (1980),Misery (1990),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Sting, The (1973)",Amadeus (1984),Unbreakable (2000),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Spaceballs (1987),Star Wars: Episode V - The Empire Strikes Back (1980),Goodfellas (1990),Groundhog Day (1993)
Louise Jones,432,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode VI - Return of the Jedi (1983),Forrest Gump (1994),Inception (2010),Schindler's List (1993),"Dark Knight, The (2008)",Braveheart (1995),Good Will Hunting (1997),American Beauty (1999),Batman Begins (2005),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)","Rock, The (1996)"
Louise Jones,433,Toy Story (1995),"Birdcage, The (1996)",Willy Wonka & the Chocolate Factory (1971),Fargo (1996),"Truth About Cats & Dogs, The (1996)","Nutty Professor, The (1996)",Sabrina (1995),Father of the Bride Part II (1995),Heat (1995),Dragonheart (1996),Kingpin (1996),Phenomenon (1996),"Time to Kill, A (1996)"
Louise Jones,434,Braveheart (1995),"Godfather, The (1972)","Breakfast Club, The (1985)","Matrix, The (1999)",Apollo 13 (1995),Rain Man (1988),E.T. the Extra-Terrestrial (1982),Reservoir Dogs (1992),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode VI - Return of the Jedi (1983),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Flirting With Disaster (1996)
